pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
19335,Matthew Gerald Matt Centrowitz Jr.,M,26,176,65,USA,2016,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres"
19407,Giovanni Cernogoraz,M,29,186,90,CRO,2012,London,Shooting,Shooting Men's Trap
19586,Davit Gochayevich Chakvetadze,M,23,174,85,RUS,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
19603,Kyle Chalmers,M,18,193,90,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle
19736,Tyson Cleotis Chandler,M,29,216,107,USA,2012,London,Basketball,Basketball Men's Basketball
19760,Chang Hye-Jin,F,29,158,50,KOR,2016,Rio de Janeiro,Archery,Archery Women's Individual
19760,Chang Hye-Jin,F,29,158,50,KOR,2016,Rio de Janeiro,Archery,Archery Women's Team
19898,Peter Charles,M,52,175,78,GBR,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team"
19901,Tina Alexandria Charles,F,23,193,88,USA,2012,London,Basketball,Basketball Women's Basketball
19901,Tina Alexandria Charles,F,27,193,88,USA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball
20042,Darvin Francisco Chvez Ramrez,M,22,NaN,NaN,MEX,2012,London,Football,Football Men's Football
20080,Yuriy Volodymyrovych Cheban,M,26,185,93,UKR,2012,London,Canoeing,"Canoeing Men's Canadian Singles, 200 metres"
20080,Yuriy Volodymyrovych Cheban,M,30,185,93,UKR,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres"
20150,Chen Aisen,M,20,168,60,CHN,2016,Rio de Janeiro,Diving,Diving Men's Platform
20150,Chen Aisen,M,20,168,60,CHN,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Platform
20182,Chen Ding,M,19,175,62,CHN,2012,London,Athletics,Athletics Men's 20 kilometres Walk
20238,Chen Long,M,27,188,81,CHN,2016,Rio de Janeiro,Badminton,Badminton Men's Singles
20258,Chen Ruolin,F,19,160,47,CHN,2012,London,Diving,Diving Women's Platform
20258,Chen Ruolin,F,19,160,47,CHN,2012,London,Diving,Diving Women's Synchronized Platform
20258,Chen Ruolin,F,23,160,47,CHN,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Platform
20312,Chen Yibing,M,27,160,58,CHN,2012,London,Gymnastics,Gymnastics Men's Team All-Around
20351,Lauren Nicole Cheney (-Holiday),F,24,173,70,USA,2012,London,Football,Football Women's Football
20427,Aleksey Borisovich Cheremisinov,M,31,183,75,RUS,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team"
20515,Emilee Cherry,F,23,168,70,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
20525,Vivian Jepkemoi Cheruiyot,F,32,153,40,KEN,2016,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres"
20671,Anna Vladimirovna Chicherova,F,30,180,57,RUS,2012,London,Athletics,Athletics Women's High Jump
20707,Vlada Aleksandrovna Chigiryova,F,21,162,46,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team
20796,Zulfiya Salakharovna Chinshanlo,F,19,155,53,KAZ,2012,London,Weightlifting,Weightlifting Women's Featherweight
21018,Choi Hyeon-Ju,F,27,172,65,KOR,2012,London,Archery,Archery Women's Team
21042,Choi Mi-Sun,F,20,168,53,KOR,2016,Rio de Janeiro,Archery,Archery Women's Team
21174,Maialen Chourraut Yurramendi,F,33,161,55,ESP,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
21299,Mads Christiansen,M,30,197,93,DEN,2016,Rio de Janeiro,Handball,Handball Men's Handball
21695,Cheick Sallah Ciss Junior,M,22,186,80,CIV,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight
21747,Edward Ed Clancy,M,27,185,79,GBR,2012,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
21747,Edward Ed Clancy,M,31,185,79,GBR,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
21817,Caroline Archer KK Clark,F,26,188,72,USA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo
21835,Saskia Clark,F,36,176,68,GBR,2016,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy
21865,Joseph Joe Clarke,M,23,182,76,GBR,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
21900,Scott Tyler Clary,M,23,185,84,USA,2012,London,Swimming,Swimming Men's 200 metres Backstroke
21966,Jacob Clear,M,27,185,86,AUS,2012,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
21990,Kerron Stephon Clement,M,30,188,86,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles
22002,Kyle Clemons,M,25,180,74,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay
22267,Nathan Cohen,M,26,184,87,NZL,2012,London,Rowing,Rowing Men's Double Sculls
22623,Robson Donato Conceio,M,27,171,57,BRA,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight
